time,sample,amplitude,phases,noise
0.0000,73.8416,40.6218,3.0000,-0.7350
25.0000,119.7656,0.0000,0.0000,2.9258
50.0000,261.3389,93.9269,5.0000,-0.4988
75.0000,334.3259,229.7604,4.0000,-1.1472
100.0000,218.8448,69.9019,2.0000,-2.1693
125.0000,103.8464,5.8079,-2.0000,0.5175
150.0000,49.9768,0.0000,0.0000,-1.1550
175.0000,31.6768,0.0000,0.0000,-2.8345
200.0000,36.4929,0.0000,0.0000,-2.0102
225.0000,81.7206,22.2817,-5.0000,0.5769
250.0000,126.1375,64.3132,0.0000,0.1223
275.0000,145.8341,40.2776,-4.0000,-2.6557
300.0000,128.5885,62.1238,5.0000,-0.7403
325.0000,81.4724,0.0000,0.0000,0.2949
350.0000,62.0450,20.8782,5.0000,-0.5447
375.0000,121.4456,0.0000,0.0000,1.3767
400.0000,277.5997,176.1707,-1.0000,-2.7587
425.0000,279.9217,130.2021,3.0000,0.1824
450.0000,173.0405,47.9138,-4.0000,-0.0920
475.0000,153.5336,0.0000,0.0000,-0.4480
500.0000,261.7891,126.9293,2.0000,-1.5210
525.0000,390.0233,300.3420,-5.0000,-0.8799
550.0000,258.3490,0.0000,0.0000,1.5041
575.0000,126.8998,0.0000,0.0000,-1.3804
600.0000,155.0100,55.6793,4.0000,2.4256
625.0000,232.9260,163.5500,-5.0000,0.6157
650.0000,198.9395,37.8683,-3.0000,-0.9621
675.0000,114.2127,23.4092,3.0000,2.1050
700.0000,60.2004,0.0000,0.0000,-1.3709
725.0000,101.6558,0.0000,0.0000,-1.7102
750.0000,154.7684,122.3581,3.0000,2.3935
775.0000,93.9873,0.0000,0.0000,-1.5470
800.0000,152.4477,0.0000,0.0000,0.8291
825.0000,352.3568,188.5176,2.0000,-0.6252
850.0000,413.8523,218.7263,4.0000,1.0916
875.0000,340.4157,123.6608,3.0000,2.5628
900.0000,290.6195,131.4929,-1.0000,1.8300
925.0000,209.3928,76.1714,-1.0000,1.4896
950.0000,101.1319,0.0000,0.0000,-0.1238
975.0000,49.6643,0.0000,0.0000,0.8009
1000.0000,46.1509,0.0000,0.0000,1.7429
1025.0000,108.3578,23.9627,-3.0000,-0.3281
1050.0000,186.8590,139.1793,-2.0000,1.7718
1075.0000,142.0630,0.0000,0.0000,-1.9403
1100.0000,149.0047,42.9801,2.0000,1.0098
1125.0000,178.1624,110.7903,0.0000,-0.4801
1150.0000,141.7521,24.4925,-4.0000,2.8733
1175.0000,126.2456,32.6487,0.0000,-0.6901
1200.0000,180.6903,77.4506,-4.0000,-1.0821
1225.0000,169.1413,77.6675,5.0000,0.8181
1250.0000,129.7309,8.2845,-3.0000,1.1855
1275.0000,211.6678,74.1042,0.0000,2.2394
1300.0000,224.7498,149.3101,4.0000,1.4193
1325.0000,114.4311,0.0000,0.0000,0.8964
1350.0000,97.4678,0.0000,0.0000,1.2401
1375.0000,289.7521,67.4758,0.0000,0.8531
1400.0000,365.2763,303.8681,5.0000,-0.2365
1425.0000,177.8846,1.4291,0.0000,-2.7305
1450.0000,117.0135,0.0000,0.0000,0.8570
1475.0000,201.1815,72.3030,4.0000,-1.4045
1500.0000,420.3244,150.5872,3.0000,-0.2544
1525.0000,643.2775,412.9448,1.0000,2.3593
1550.0000,554.7019,203.7781,3.0000,1.8389
1575.0000,363.7521,155.1359,1.0000,3.9534
1600.0000,191.2129,25.8784,-4.0000,-0.4948
1625.0000,108.5966,25.0343,-4.0000,0.4332
1650.0000,90.4122,9.7379,0.0000,0.2658
1675.0000,107.4052,65.4697,-4.0000,0.3025
1700.0000,101.8460,0.0000,0.0000,1.9830
1725.0000,165.2510,58.8899,-4.0000,-1.9213
1750.0000,240.2405,113.3688,3.0000,-0.7950
1775.0000,220.6783,90.2220,5.0000,0.0807
1800.0000,270.6499,89.3794,-3.0000,1.7019
1825.0000,359.1935,230.3174,-2.0000,-1.0052
1850.0000,245.7908,49.0023,4.0000,0.9603
1875.0000,190.1940,9.1416,-2.0000,-0.4477
1900.0000,285.4928,233.2135,-3.0000,0.6368
1925.0000,212.2133,0.0000,0.0000,-1.0429
1950.0000,181.2801,91.0921,-5.0000,0.2345
1975.0000,139.3535,32.5862,5.0000,0.9824
2000.0000,92.8832,0.0000,0.0000,1.3625
2025.0000,85.5476,44.0489,5.0000,-0.0007
2050.0000,73.9987,7.6932,0.0000,1.6978
2075.0000,151.4664,37.9195,-5.0000,-2.5886
2100.0000,345.8720,249.6830,-5.0000,1.3910
2125.0000,393.0374,124.8018,-4.0000,-1.9290
2150.0000,375.8605,200.9125,-5.0000,-0.9880
2175.0000,290.0733,31.4761,0.0000,-0.7683
2200.0000,240.4064,115.9094,0.0000,1.1636
