time,sample,amplitude,phases,noise
0.0000,88.1685,57.1517,1.0000,-0.3291
25.0000,114.8691,0.0000,0.0000,0.8246
50.0000,191.0158,132.1360,-2.0000,0.3470
75.0000,163.8380,42.5500,1.0000,2.4935
100.0000,85.7180,9.6683,4.0000,0.8269
125.0000,46.4504,0.0000,0.0000,-0.6402
150.0000,32.4618,0.0000,0.0000,-1.2546
175.0000,29.9664,0.0000,0.0000,-0.5403
200.0000,30.2320,0.0000,0.0000,-0.3581
225.0000,60.4297,0.0000,0.0000,-0.9264
250.0000,208.7311,95.8349,-5.0000,3.1395
275.0000,404.1841,205.5490,-3.0000,0.6678
300.0000,346.7659,169.6839,5.0000,0.2420
325.0000,156.1428,0.0000,0.0000,-0.1846
350.0000,75.6291,15.7047,2.0000,-1.1965
375.0000,48.5067,0.0000,0.0000,0.1605
400.0000,44.3111,9.7099,-3.0000,-0.3901
425.0000,121.8391,0.0000,0.0000,0.3644
450.0000,247.7823,216.0830,-2.0000,-0.4900
475.0000,234.6946,0.0000,0.0000,1.8613
500.0000,392.3526,213.5182,-5.0000,0.5293
525.0000,464.7943,278.1003,-1.0000,-0.5487
550.0000,240.2674,0.0000,0.0000,1.2895
575.0000,118.1394,0.0000,0.0000,0.4740
600.0000,135.1103,92.6904,-4.0000,-0.3848
625.0000,93.1280,0.0000,0.0000,-1.9181
650.0000,86.5041,0.0000,0.0000,0.3463
675.0000,108.2778,74.7958,2.0000,-1.1512
700.0000,71.2071,0.0000,0.0000,1.8017
725.0000,41.5625,0.0000,0.0000,1.2829
750.0000,30.0119,0.0608,-3.0000,-2.8907
775.0000,31.4299,0.0000,0.0000,0.3528
800.0000,63.2920,0.0000,0.0000,2.0363
825.0000,173.5609,83.0807,-3.0000,0.7276
850.0000,313.6376,189.0035,-5.0000,-3.0434
875.0000,278.8866,96.0925,2.0000,1.2425
900.0000,214.4333,4.6290,-3.0000,0.3167
925.0000,216.2941,160.1182,3.0000,0.3718
950.0000,112.5480,0.0000,0.0000,-2.5886
975.0000,53.3399,0.0000,0.0000,0.8105
1000.0000,77.7528,0.0000,0.0000,0.8340
1025.0000,210.4628,94.0401,-2.0000,1.2186
1050.0000,250.8582,164.8289,2.0000,-1.6484
1075.0000,156.5853,0.0000,0.0000,0.9166
1100.0000,244.2355,43.9961,-3.0000,-1.2334
1125.0000,329.0647,264.2628,3.0000,2.0455
