sample(0),sample(1),sample(2),sample(3),sample(4),sample(5),sample(6),AmplitudeSample(4)
40.025,126.7391,239.2141,151.6648,78.0394,79.6244,55.8017,0.0
126.7391,239.2141,151.6648,78.0394,79.6244,55.8017,36.9176,0.0
239.2141,151.6648,78.0394,79.6244,55.8017,36.9176,31.6412,38.4008
151.6648,78.0394,79.6244,55.8017,36.9176,31.6412,34.3552,0.0
78.0394,79.6244,55.8017,36.9176,31.6412,34.3552,44.6305,0.0
79.6244,55.8017,36.9176,31.6412,34.3552,44.6305,47.9839,0.0
55.8017,36.9176,31.6412,34.3552,44.6305,47.9839,35.2945,3.5784
36.9176,31.6412,34.3552,44.6305,47.9839,35.2945,41.2874,4.9647
31.6412,34.3552,44.6305,47.9839,35.2945,41.2874,50.5059,11.7271
34.3552,44.6305,47.9839,35.2945,41.2874,50.5059,74.2608,0.0
44.6305,47.9839,35.2945,41.2874,50.5059,74.2608,217.1675,0.0
47.9839,35.2945,41.2874,50.5059,74.2608,217.1675,334.9772,21.1544
35.2945,41.2874,50.5059,74.2608,217.1675,334.9772,214.5426,2.2649
41.2874,50.5059,74.2608,217.1675,334.9772,214.5426,106.4042,79.7741
50.5059,74.2608,217.1675,334.9772,214.5426,106.4042,99.1298,216.7192
74.2608,217.1675,334.9772,214.5426,106.4042,99.1298,85.0848,54.3496
217.1675,334.9772,214.5426,106.4042,99.1298,85.0848,151.7673,0.0
334.9772,214.5426,106.4042,99.1298,85.0848,151.7673,289.0622,52.5638
214.5426,106.4042,99.1298,85.0848,151.7673,289.0622,212.7036,0.0
106.4042,99.1298,85.0848,151.7673,289.0622,212.7036,123.6061,40.7691
99.1298,85.0848,151.7673,289.0622,212.7036,123.6061,114.2312,236.9487
85.0848,151.7673,289.0622,212.7036,123.6061,114.2312,70.6923,0.0
151.7673,289.0622,212.7036,123.6061,114.2312,70.6923,42.899,21.8647
289.0622,212.7036,123.6061,114.2312,70.6923,42.899,72.1766,58.453
212.7036,123.6061,114.2312,70.6923,42.899,72.1766,146.4725,0.0
123.6061,114.2312,70.6923,42.899,72.1766,146.4725,291.5688,0.0
114.2312,70.6923,42.899,72.1766,146.4725,291.5688,461.9563,0.0
70.6923,42.899,72.1766,146.4725,291.5688,461.9563,340.6656,86.2189
42.899,72.1766,146.4725,291.5688,461.9563,340.6656,334.5923,93.7618
72.1766,146.4725,291.5688,461.9563,340.6656,334.5923,333.4133,358.7724
146.4725,291.5688,461.9563,340.6656,334.5923,333.4133,157.1748,0.0
291.5688,461.9563,340.6656,334.5923,333.4133,157.1748,80.8192,82.3906
461.9563,340.6656,334.5923,333.4133,157.1748,80.8192,83.6111,241.2308
340.6656,334.5923,333.4133,157.1748,80.8192,83.6111,65.0798,3.2266
334.5923,333.4133,157.1748,80.8192,83.6111,65.0798,59.6862,0.0
333.4133,157.1748,80.8192,83.6111,65.0798,59.6862,88.3882,43.968
157.1748,80.8192,83.6111,65.0798,59.6862,88.3882,108.1439,0.0
80.8192,83.6111,65.0798,59.6862,88.3882,108.1439,75.4202,10.5026
83.6111,65.0798,59.6862,88.3882,108.1439,75.4202,42.8605,24.7839
65.0798,59.6862,88.3882,108.1439,75.4202,42.8605,30.4602,62.6389
59.6862,88.3882,108.1439,75.4202,42.8605,30.4602,29.0258,0.0
88.3882,108.1439,75.4202,42.8605,30.4602,29.0258,30.9293,0.0
108.1439,75.4202,42.8605,30.4602,29.0258,30.9293,63.9372,0.0
75.4202,42.8605,30.4602,29.0258,30.9293,63.9372,88.6501,0.0
42.8605,30.4602,29.0258,30.9293,63.9372,88.6501,62.219,0.0
30.4602,29.0258,30.9293,63.9372,88.6501,62.219,48.218,0.0
29.0258,30.9293,63.9372,88.6501,62.219,48.218,49.7851,60.3661
30.9293,63.9372,88.6501,62.219,48.218,49.7851,60.0013,0.0
63.9372,88.6501,62.219,48.218,49.7851,60.0013,85.6675,9.1875
88.6501,62.219,48.218,49.7851,60.0013,85.6675,98.9484,9.4038
62.219,48.218,49.7851,60.0013,85.6675,98.9484,81.7053,7.3768
48.218,49.7851,60.0013,85.6675,98.9484,81.7053,50.0085,28.4586
49.7851,60.0013,85.6675,98.9484,81.7053,50.0085,44.8079,45.8721
60.0013,85.6675,98.9484,81.7053,50.0085,44.8079,56.8462,19.5412
85.6675,98.9484,81.7053,50.0085,44.8079,56.8462,225.0478,0.0
98.9484,81.7053,50.0085,44.8079,56.8462,225.0478,525.5966,0.0
81.7053,50.0085,44.8079,56.8462,225.0478,525.5966,350.1402,22.0886
50.0085,44.8079,56.8462,225.0478,525.5966,350.1402,206.5024,0.0
44.8079,56.8462,225.0478,525.5966,350.1402,206.5024,335.0407,496.901
56.8462,225.0478,525.5966,350.1402,206.5024,335.0407,271.3121,0.0
225.0478,525.5966,350.1402,206.5024,335.0407,271.3121,207.789,0.0
525.5966,350.1402,206.5024,335.0407,271.3121,207.789,175.3878,282.4852
350.1402,206.5024,335.0407,271.3121,207.789,175.3878,172.5917,0.0
206.5024,335.0407,271.3121,207.789,175.3878,172.5917,255.4557,64.2051
335.0407,271.3121,207.789,175.3878,172.5917,255.4557,211.0777,99.4332
271.3121,207.789,175.3878,172.5917,255.4557,211.0777,110.9617,0.0
207.789,175.3878,172.5917,255.4557,211.0777,110.9617,60.288,187.073
175.3878,172.5917,255.4557,211.0777,110.9617,60.288,115.6007,72.367
172.5917,255.4557,211.0777,110.9617,60.288,115.6007,399.5814,0.0
255.4557,211.0777,110.9617,60.288,115.6007,399.5814,629.5893,5.6592
211.0777,110.9617,60.288,115.6007,399.5814,629.5893,490.9501,0.0
110.9617,60.288,115.6007,399.5814,629.5893,490.9501,282.9102,196.3665
60.288,115.6007,399.5814,629.5893,490.9501,282.9102,168.0197,376.9747
115.6007,399.5814,629.5893,490.9501,282.9102,168.0197,86.3893,185.6591
399.5814,629.5893,490.9501,282.9102,168.0197,86.3893,64.2697,50.7738
629.5893,490.9501,282.9102,168.0197,86.3893,64.2697,97.9639,66.4
490.9501,282.9102,168.0197,86.3893,64.2697,97.9639,124.2389,0.0
282.9102,168.0197,86.3893,64.2697,97.9639,124.2389,76.7953,20.2503
168.0197,86.3893,64.2697,97.9639,124.2389,76.7953,45.9509,0.0
86.3893,64.2697,97.9639,124.2389,76.7953,45.9509,50.1618,97.1274
64.2697,97.9639,124.2389,76.7953,45.9509,50.1618,81.5385,0.0
97.9639,124.2389,76.7953,45.9509,50.1618,81.5385,207.5972,0.0
124.2389,76.7953,45.9509,50.1618,81.5385,207.5972,267.057,15.9447
76.7953,45.9509,50.1618,81.5385,207.5972,267.057,146.76,0.0
45.9509,50.1618,81.5385,207.5972,267.057,146.76,62.5574,96.7739
50.1618,81.5385,207.5972,267.057,146.76,62.5574,34.0663,177.5696
81.5385,207.5972,267.057,146.76,62.5574,34.0663,38.6544,0.0
207.5972,267.057,146.76,62.5574,34.0663,38.6544,192.927,0.0
267.057,146.76,62.5574,34.0663,38.6544,192.927,520.7157,0.0
146.76,62.5574,34.0663,38.6544,192.927,520.7157,431.6255,0.0
62.5574,34.0663,38.6544,192.927,520.7157,431.6255,308.352,8.8884
34.0663,38.6544,192.927,520.7157,431.6255,308.352,357.0998,457.6913
38.6544,192.927,520.7157,431.6255,308.352,357.0998,340.4941,61.967
192.927,520.7157,431.6255,308.352,357.0998,340.4941,178.5005,43.6247
520.7157,431.6255,308.352,357.0998,340.4941,178.5005,69.4654,190.4297
431.6255,308.352,357.0998,340.4941,178.5005,69.4654,45.9017,212.187
308.352,357.0998,340.4941,178.5005,69.4654,45.9017,102.3666,0.0
357.0998,340.4941,178.5005,69.4654,45.9017,102.3666,221.5315,0.0
340.4941,178.5005,69.4654,45.9017,102.3666,221.5315,200.9645,0.0
178.5005,69.4654,45.9017,102.3666,221.5315,200.9645,108.0927,7.1651
69.4654,45.9017,102.3666,221.5315,200.9645,108.0927,85.1839,121.4874
45.9017,102.3666,221.5315,200.9645,108.0927,85.1839,86.5029,106.7209
102.3666,221.5315,200.9645,108.0927,85.1839,86.5029,88.2747,0.0
221.5315,200.9645,108.0927,85.1839,86.5029,88.2747,169.6286,20.7588
200.9645,108.0927,85.1839,86.5029,88.2747,169.6286,242.3902,40.0394
108.0927,85.1839,86.5029,88.2747,169.6286,242.3902,162.5281,0.0
85.1839,86.5029,88.2747,169.6286,242.3902,162.5281,184.7597,69.958
86.5029,88.2747,169.6286,242.3902,162.5281,184.7597,275.5564,159.4005
88.2747,169.6286,242.3902,162.5281,184.7597,275.5564,161.4703,19.4653
169.6286,242.3902,162.5281,184.7597,275.5564,161.4703,67.6472,0.0
242.3902,162.5281,184.7597,275.5564,161.4703,67.6472,83.723,235.4674
162.5281,184.7597,275.5564,161.4703,67.6472,83.723,107.9398,0.0
184.7597,275.5564,161.4703,67.6472,83.723,107.9398,67.1522,0.0
275.5564,161.4703,67.6472,83.723,107.9398,67.1522,40.4653,0.0
161.4703,67.6472,83.723,107.9398,67.1522,40.4653,80.5379,76.4841
67.6472,83.723,107.9398,67.1522,40.4653,80.5379,142.3052,0.0
83.723,107.9398,67.1522,40.4653,80.5379,142.3052,90.4582,0.0
107.9398,67.1522,40.4653,80.5379,142.3052,90.4582,50.358,0.0
67.1522,40.4653,80.5379,142.3052,90.4582,50.358,121.2285,110.109
40.4653,80.5379,142.3052,90.4582,50.358,121.2285,284.5252,0.0
80.5379,142.3052,90.4582,50.358,121.2285,284.5252,204.2363,0.0
142.3052,90.4582,50.358,121.2285,284.5252,204.2363,82.6836,0.0
90.4582,50.358,121.2285,284.5252,204.2363,82.6836,76.3587,258.6022
50.358,121.2285,284.5252,204.2363,82.6836,76.3587,103.2984,0.0
121.2285,284.5252,204.2363,82.6836,76.3587,103.2984,106.9026,0.0
284.5252,204.2363,82.6836,76.3587,103.2984,106.9026,145.6708,4.3762
204.2363,82.6836,76.3587,103.2984,106.9026,145.6708,106.3614,69.5746
82.6836,76.3587,103.2984,106.9026,145.6708,106.3614,71.9419,0.0
76.3587,103.2984,106.9026,145.6708,106.3614,71.9419,86.6639,104.5327
103.2984,106.9026,145.6708,106.3614,71.9419,86.6639,60.265,0.0
106.9026,145.6708,106.3614,71.9419,86.6639,60.265,38.5203,0.0
145.6708,106.3614,71.9419,86.6639,60.265,38.5203,52.1986,52.9711
106.3614,71.9419,86.6639,60.265,38.5203,52.1986,79.1016,0.0
71.9419,86.6639,60.265,38.5203,52.1986,79.1016,63.5981,0.0
86.6639,60.265,38.5203,52.1986,79.1016,63.5981,94.2779,2.1737
60.265,38.5203,52.1986,79.1016,63.5981,94.2779,170.208,47.4632
38.5203,52.1986,79.1016,63.5981,94.2779,170.208,116.7842,0.0
52.1986,79.1016,63.5981,94.2779,170.208,116.7842,53.8606,0.0
79.1016,63.5981,94.2779,170.208,116.7842,53.8606,38.2632,140.5527
63.5981,94.2779,170.208,116.7842,53.8606,38.2632,52.5769,0.0
