time,sample,amplitude,phases,noise
0.0000,179.2656,150.0146,-1.0000,-1.4309
25.0000,132.0219,2.2152,-3.0000,0.6635
50.0000,124.8443,24.9813,-3.0000,1.0413
75.0000,169.5485,112.1474,-2.0000,0.4802
100.0000,154.6356,1.9169,-4.0000,-1.3366
125.0000,142.8606,80.0106,5.0000,-0.5206
150.0000,107.1642,24.7720,3.0000,-1.6544
175.0000,151.1310,35.0487,-5.0000,-0.0841
200.0000,315.6419,159.0787,-2.0000,-0.6251
225.0000,442.9800,259.9652,-3.0000,-0.4760
250.0000,371.3055,79.4563,5.0000,-1.3872
275.0000,369.7950,222.7405,-5.0000,-0.9625
300.0000,289.1454,68.4631,1.0000,0.1778
325.0000,211.3797,20.3223,4.0000,-3.3218
350.0000,338.8525,210.9945,-3.0000,-1.2221
375.0000,369.8163,158.9651,-1.0000,0.3060
400.0000,272.1788,71.5555,2.0000,0.0894
425.0000,206.3755,74.2430,1.0000,-0.0886
450.0000,141.4798,47.0800,5.0000,-1.0346
475.0000,152.3260,13.0361,-3.0000,-1.1530
500.0000,250.4801,152.3393,1.0000,0.2282
525.0000,259.5473,128.9953,-2.0000,-1.2575
550.0000,180.0726,46.3028,-4.0000,-1.4530
575.0000,110.0772,5.2327,4.0000,1.1707
600.0000,92.1702,25.2531,3.0000,-0.9668
625.0000,105.9884,38.0810,2.0000,0.1940
650.0000,145.2962,68.8224,-5.0000,2.7822
675.0000,198.5333,62.7470,-5.0000,-0.7611
700.0000,198.1990,106.0271,2.0000,1.5111
725.0000,169.2796,0.0000,0.0000,2.4143
750.0000,198.2890,144.5180,0.0000,0.2955
775.0000,231.1974,0.0000,0.0000,6.0435
800.0000,279.3801,224.5522,1.0000,-2.0413
825.0000,227.1569,6.4293,1.0000,0.1839
850.0000,316.8492,157.7697,-3.0000,-1.4433
875.0000,317.8016,173.7195,3.0000,-0.9594
900.0000,174.0281,10.7401,0.0000,3.9984
925.0000,93.0017,25.4679,3.0000,0.6995
950.0000,55.9601,0.0000,0.0000,-1.5957
975.0000,56.0436,10.1608,4.0000,0.7915
1000.0000,151.4594,18.4187,-3.0000,-0.4023
1025.0000,290.9206,193.8290,1.0000,0.0507
1050.0000,227.3952,88.2329,5.0000,0.3284
1075.0000,122.0391,4.0874,-4.0000,-1.9802
1100.0000,99.7576,41.3115,2.0000,-1.6692
