sample(0),sample(1),sample(2),sample(3),sample(4),sample(5),sample(6),AmplitudeSample(4)
69.213,49.5061,34.6836,31.8923,28.1519,29.0768,28.7823,0.0
49.5061,34.6836,31.8923,28.1519,29.0768,28.7823,29.9769,0.0
34.6836,31.8923,28.1519,29.0768,28.7823,29.9769,28.3781,0.0
31.8923,28.1519,29.0768,28.7823,29.9769,28.3781,30.9348,0.0
28.1519,29.0768,28.7823,29.9769,28.3781,30.9348,31.6145,0.0
29.0768,28.7823,29.9769,28.3781,30.9348,31.6145,39.488,0.0
28.7823,29.9769,28.3781,30.9348,31.6145,39.488,60.1651,0.0
29.9769,28.3781,30.9348,31.6145,39.488,60.1651,52.142,0.0
28.3781,30.9348,31.6145,39.488,60.1651,52.142,37.3351,0.0
30.9348,31.6145,39.488,60.1651,52.142,37.3351,31.9967,33.5226
31.6145,39.488,60.1651,52.142,37.3351,31.9967,30.9227,0.0
39.488,60.1651,52.142,37.3351,31.9967,30.9227,31.1395,0.0
60.1651,52.142,37.3351,31.9967,30.9227,31.1395,32.7492,0.0
52.142,37.3351,31.9967,30.9227,31.1395,32.7492,56.4496,0.0
37.3351,31.9967,30.9227,31.1395,32.7492,56.4496,148.3473,0.0
31.9967,30.9227,31.1395,32.7492,56.4496,148.3473,171.372,0.0
30.9227,31.1395,32.7492,56.4496,148.3473,171.372,94.5197,0.0
31.1395,32.7492,56.4496,148.3473,171.372,94.5197,47.1623,58.231
32.7492,56.4496,148.3473,171.372,94.5197,47.1623,33.4361,110.0769
56.4496,148.3473,171.372,94.5197,47.1623,33.4361,30.1501,0.0
148.3473,171.372,94.5197,47.1623,33.4361,30.1501,29.7274,0.0
171.372,94.5197,47.1623,33.4361,30.1501,29.7274,30.9288,0.0
94.5197,47.1623,33.4361,30.1501,29.7274,30.9288,30.3796,0.0
47.1623,33.4361,30.1501,29.7274,30.9288,30.3796,39.5278,0.0
33.4361,30.1501,29.7274,30.9288,30.3796,39.5278,48.2547,0.0
30.1501,29.7274,30.9288,30.3796,39.5278,48.2547,39.7433,0.0
29.7274,30.9288,30.3796,39.5278,48.2547,39.7433,30.5943,0.0
30.9288,30.3796,39.5278,48.2547,39.7433,30.5943,29.8306,16.3949
30.3796,39.5278,48.2547,39.7433,30.5943,29.8306,52.0817,0.0
39.5278,48.2547,39.7433,30.5943,29.8306,52.0817,102.456,0.0
48.2547,39.7433,30.5943,29.8306,52.0817,102.456,120.5815,0.0
39.7433,30.5943,29.8306,52.0817,102.456,120.5815,117.5831,0.0
30.5943,29.8306,52.0817,102.456,120.5815,117.5831,74.1027,60.8178
29.8306,52.0817,102.456,120.5815,117.5831,74.1027,44.8184,23.0928
52.0817,102.456,120.5815,117.5831,74.1027,44.8184,116.0703,63.4116
102.456,120.5815,117.5831,74.1027,44.8184,116.0703,170.6461,0.0
120.5815,117.5831,74.1027,44.8184,116.0703,170.6461,102.8597,0.0
117.5831,74.1027,44.8184,116.0703,170.6461,102.8597,138.9891,0.0
74.1027,44.8184,116.0703,170.6461,102.8597,138.9891,213.3741,143.4471
44.8184,116.0703,170.6461,102.8597,138.9891,213.3741,124.9513,0.0
116.0703,170.6461,102.8597,138.9891,213.3741,124.9513,64.5756,0.0
170.6461,102.8597,138.9891,213.3741,124.9513,64.5756,251.7457,179.7805
102.8597,138.9891,213.3741,124.9513,64.5756,251.7457,510.0443,0.0
138.9891,213.3741,124.9513,64.5756,251.7457,510.0443,430.8993,0.0
213.3741,124.9513,64.5756,251.7457,510.0443,430.8993,392.6285,0.0
124.9513,64.5756,251.7457,510.0443,430.8993,392.6285,517.4751,444.4078
64.5756,251.7457,510.0443,430.8993,392.6285,517.4751,332.8422,102.2244
251.7457,510.0443,430.8993,392.6285,517.4751,332.8422,119.2544,93.0491
510.0443,430.8993,392.6285,517.4751,332.8422,119.2544,53.0173,413.1663
