occupancy,fold,mean,std
occ0_2,0,-4.693669183038811,21.186454928127787
occ0_2,1,-4.963456780134099,19.8816416912597
occ0_2,2,-5.264833030370473,19.541418596550535
occ0_2,3,-4.802430071645926,20.680387968556506
occ0_2,4,-4.696661613108758,21.44383869839223
occ0_2,5,-4.749865173298786,21.11701974335287
occ0_2,6,-4.9243213790903475,20.02692753806254
occ0_2,7,-4.967280440785054,21.3517863597139
occ0_2,8,-5.362234018623635,19.574097578949182
occ0_2,9,-5.061796246266566,20.05757271984991
occ0_5,0,2.6995322227959684,30.217020279569958
occ0_5,1,2.853736228711694,30.933175780846746
occ0_5,2,2.501851744247763,30.748922849200692
occ0_5,3,3.3221537764324647,31.653127306907184
occ0_5,4,3.2139235458945477,31.053047782710134
occ0_5,5,2.909003560550233,31.31485301515518
occ0_5,6,2.9195911084831923,31.128856064910845
occ0_5,7,2.5970044582564915,29.85621102323474
occ0_5,8,2.672844145161252,31.229843687591988
occ0_5,9,2.832060896626447,30.726370304606213
occ0_7,0,7.7648232657181335,35.002494926396686
occ0_7,1,7.543024672581089,35.01005293765764
occ0_7,2,7.692152325914526,35.06952303067541
occ0_7,3,8.271368582281653,36.16712540543891
occ0_7,4,8.07386805134492,35.700479158582176
occ0_7,5,7.64944109326337,35.55061580956738
occ0_7,6,7.897061806333278,35.97984838614656
occ0_7,7,7.890384603227773,36.11686905169383
occ0_7,8,8.305498215705175,36.33266647496589
occ0_7,9,8.162759086645558,35.35007712009965
occ0_9,0,13.591681207758025,38.722953130412655
occ0_9,1,12.701672976106597,38.1877253439024
occ0_9,2,13.375898507015963,39.45359215148006
occ0_9,3,12.8560758221108,37.873719077000835
occ0_9,4,13.301836068745283,38.484966517709395
occ0_9,5,13.357663994589831,38.901483294575414
occ0_9,6,13.049581730736014,39.26966310867373
occ0_9,7,13.103850084488146,39.030662536160776
occ0_9,8,13.09471725182876,38.699004093153995
occ0_9,9,13.315772378347987,39.068350368273194
